"","river","key","r","NRMSE","rBIAS","KGE","n_data"
"49","MississippiUpstream","FCO2_BIKER",0.994688439523939,0.922338089887096,0.766519062655662,-0.1090840062387,12
"50","MississippiUpstream","FCO2_brinkerhoff2019",0.999837199416721,0.368277195341752,0.316446684727971,0.565323505860503,12
"51","MississippiUpstream","FCO2_raymond2012",0.999614342868115,0.0211147499065876,0.0104967217383226,0.986223777171404,12
"52","MississippiUpstream","FCO2_raymond2013",0.999846005091923,0.318022770953073,0.273655220990667,0.625165072651537,12
"53","MissouriDownstream","FCO2_BIKER",0.997994868461119,0.266741793766166,0.22093532960635,0.691436020432611,25
"54","MissouriDownstream","FCO2_brinkerhoff2019",0.998191640966274,0.244156176871166,0.207566826762269,0.722978729814356,25
"55","MissouriDownstream","FCO2_raymond2012",0.997351175190189,0.0687821725200641,-0.034175737673936,0.934019587031893,25
"56","MissouriDownstream","FCO2_raymond2013",0.998051526445352,0.205606969752069,0.174561799424657,0.769608415201928,25
"57","MissouriMidsection","FCO2_BIKER",0.998308125052403,0.175215698627221,0.141447833908853,0.797722526476972,25
"58","MissouriMidsection","FCO2_brinkerhoff2019",0.997229739603702,0.235016917434855,0.198511323971529,0.736209705027805,25
"59","MissouriMidsection","FCO2_raymond2012",0.997115777514924,0.0782562257618871,-0.0435805323008766,0.920552161613494,25
"60","MissouriMidsection","FCO2_raymond2013",0.997177605021886,0.196572817198247,0.165379070333467,0.78301105295912,25
"61","MissouriUpstream","FCO2_BIKER",0.998084574088368,0.255843200928471,0.209050035168949,0.698430809132358,25
"62","MissouriUpstream","FCO2_brinkerhoff2019",0.98658829678431,0.313944343242694,0.257141918693477,0.666547052299183,25
"63","MissouriUpstream","FCO2_raymond2012",0.987308514739392,0.103856554863568,0.00324629891944547,0.962844923586146,25
"64","MissouriUpstream","FCO2_raymond2013",0.986572303191997,0.275407510787227,0.222203541874931,0.715227163232119,25
"65","Ohio","FCO2_BIKER",0.694372370924985,0.45123188763834,-0.10130216626659,0.677931466153173,16
"66","Ohio","FCO2_brinkerhoff2019",0.999858096834968,0.179348995897634,0.153966353456325,0.775660204801079,16
"67","Ohio","FCO2_raymond2012",0.998890744323542,0.109930756085558,-0.0970339875570024,0.873984136219703,16
"68","Ohio","FCO2_raymond2013",0.999885736320832,0.1328432438361,0.113742923537326,0.833609885184061,16
"69","OhioSection1","FCO2_BIKER",0.651086179064954,0.464810111387289,0.0644522850930156,0.599838728180404,16
"70","OhioSection1","FCO2_brinkerhoff2019",0.999922912513049,0.063341528497664,0.0560521925679595,0.919279589904802,16
"71","OhioSection1","FCO2_raymond2012",0.999250202037137,0.170000433717733,-0.154498272345921,0.79258061908754,16
"72","OhioSection1","FCO2_raymond2013",0.999934164649815,0.0241156429340123,0.0206802925684057,0.969692794366206,16
"73","OhioSection2","FCO2_BIKER",0.996522167114271,0.126924839267452,-0.1150619028055,0.880567042629868,16
"74","OhioSection2","FCO2_brinkerhoff2019",0.99955065030761,0.0758028883212551,0.0675483080768924,0.917446668151302,16
"75","OhioSection2","FCO2_raymond2012",0.998252377677669,0.204268975925517,-0.162201198906531,0.744831816664575,16
"76","OhioSection2","FCO2_raymond2013",0.999603646717142,0.0373554190526809,0.032030121412535,0.965078185776766,16
"77","OhioSection3","FCO2_BIKER",0.992572988135984,0.229723726733425,0.164456991421532,0.710452023018152,16
"78","OhioSection3","FCO2_brinkerhoff2019",0.999915142995922,0.161279205894643,0.139509858011802,0.804062032266562,16
"79","OhioSection3","FCO2_raymond2012",0.99900923942036,0.133993717870194,-0.108719448457321,0.832651740483447,16
"80","OhioSection3","FCO2_raymond2013",0.999933333822531,0.1177421065094,0.101564490671028,0.856719944153,16
"81","OhioSection4","FCO2_BIKER",0.917244860386668,0.293382731641004,-0.153383614924637,0.825697068091036,16
"82","OhioSection4","FCO2_brinkerhoff2019",0.999727203619086,0.078037435623606,0.0628998544967362,0.905113954426016,16
"83","OhioSection4","FCO2_raymond2012",0.999664477001145,0.199662758135381,-0.169215922853729,0.759745331338102,16
"84","OhioSection4","FCO2_raymond2013",0.999594996829697,0.0379691190082673,0.0255813243383431,0.956479959092224,16
"85","OhioSection5","FCO2_BIKER",0.9943212064324,0.203892735857831,0.149987681397578,0.740880652522788,16
"86","OhioSection5","FCO2_brinkerhoff2019",0.998751440560581,0.262937775768924,0.231802626145352,0.68719519146982,16
