"","river","key","r2","nrmse","rBIAS","rrmse"
"97","Ohio","FCO2_BIKER",0.50122747518436,0.435844497842807,0.0260152902105065,0.453747322899156
"98","Ohio","FCO2_brinkerhoff2019",0.901005558648822,0.320688450792749,-0.251421007971168,0.256702391666296
"99","Ohio","FCO2_raymond2012",0.944701353039396,0.430870158034981,-0.369693314433569,0.362350339835851
"100","Ohio","FCO2_raymond2013",0.999312948167165,0.11179524216469,-0.10129550175321,0.107053430487253
"101","OhioSection1","FCO2_BIKER",0.694605098599456,0.359924495680895,0.218897264308111,0.400800579363222
"102","OhioSection1","FCO2_brinkerhoff2019",0.888723131488254,0.352258060795582,-0.297773918521575,0.300273813263104
"103","OhioSection1","FCO2_raymond2012",0.937110854029007,0.427206878957476,-0.379077809882455,0.374275546213813
"104","OhioSection1","FCO2_raymond2013",0.99983811948444,0.162466905184694,-0.149219181991379,0.150762257496435
"105","OhioSection2","FCO2_BIKER",0.98577198914721,0.0887062041340615,-0.0539025482838436,0.13496768168782
"106","OhioSection2","FCO2_brinkerhoff2019",0.98308780594302,0.202099155620696,-0.18067234207662,0.220235512149579
"107","OhioSection2","FCO2_raymond2012",0.993313277095253,0.334236804545663,-0.30068809249943,0.317600788427351
"108","OhioSection2","FCO2_raymond2013",0.993176908860097,0.0905407316157267,-0.0682650268732513,0.0761944981316469
"109","OhioSection3","FCO2_BIKER",0.959069648464943,0.379493134390711,0.338603849315219,0.468366773182361
"110","OhioSection3","FCO2_brinkerhoff2019",0.989925290192497,0.10934171783205,-0.0942851459964141,0.13110898234453
"111","OhioSection3","FCO2_raymond2012",0.997378883727421,0.258628196747162,-0.23427156375443,0.24480512818499
"112","OhioSection3","FCO2_raymond2013",0.98295280729527,0.076352153470326,0.0345814918891236,0.0837042147646276
"113","OhioSection4","FCO2_BIKER",0.500446282396494,0.373694331495845,-0.0819246063504018,0.540309932264722
"114","OhioSection4","FCO2_brinkerhoff2019",0.962545329212336,0.262607924374527,-0.236816361554391,0.281701521589275
"115","OhioSection4","FCO2_raymond2012",0.978169466055531,0.398703813231092,-0.363314726785856,0.383865462342421
"116","OhioSection4","FCO2_raymond2013",0.999834650159573,0.163709745263352,-0.145584099197134,0.145131803322285
"117","OhioSection5","FCO2_BIKER",0.980292681179103,0.341384295962664,0.294093590597533,0.404905911609513
"118","OhioSection5","FCO2_brinkerhoff2019",0.987834364753041,0.0889569742127189,-0.0638458231372811,0.132647239097622
"119","OhioSection5","FCO2_raymond2012",0.9958410233622,0.247328097782525,-0.222414478449578,0.243229340842257
"120","OhioSection5","FCO2_raymond2013",0.989466322335762,0.0784111357432028,0.0486990223496697,0.0841367781176886
"121","OhioSection7","FCO2_BIKER",0.724992991066658,0.49770055293325,0.356173916298926,0.982342306711037
"122","OhioSection7","FCO2_brinkerhoff2019",0.964784867366008,0.130618346793365,-0.0168424368341305,0.182457332764378
"123","OhioSection7","FCO2_raymond2012",0.97986299097708,0.227887645872381,-0.201501055591532,0.2515185776248
"124","OhioSection7","FCO2_raymond2013",0.99953892639366,0.0867601357513717,0.0767397510009983,0.0799157873653599
"125","OhioSection8","FCO2_BIKER",0.825939054536759,0.214677359568543,-0.0957016834976574,0.178540755304571
"126","OhioSection8","FCO2_brinkerhoff2019",0.969417511186378,0.100684875001231,0.0560905515681003,0.103485246991335
"127","OhioSection8","FCO2_raymond2012",0.983625476035466,0.14871622656276,-0.129407885056416,0.134279261120454
"128","OhioSection8","FCO2_raymond2013",0.958144403039799,0.416828717661245,0.30211966118971,0.306730587840361
"129","Olentangy","FCO2_BIKER",1,0.359435593880096,0.355008582921346,0.389759072467231
"130","Olentangy","FCO2_brinkerhoff2019",1,0.327673138051896,-0.327572047707158,0.337201076234255
"131","Olentangy","FCO2_raymond2012",1,0.164388249765256,-0.164159354566935,0.173154160016559
"132","Olentangy","FCO2_raymond2013",1,0.0804045577995655,-0.072188519996114,0.0727037402464679
