Site,lat,long,Date,DOC,NH4+-N,DRP,TP,Chl a,NO3-N,TN,TSS,SS OM content,VSS,Temperature,Specific conductivity,Discharge,DO,DO,Wind,N2O,N2O (SE),N2O,N2O (SE),N2O emission rate,N2O emission rate (SE),CH4,CH4 (SE),CH4,CH4 (SE),CH4 emission rate,CH4 emission rate (SE),CO2,CO2 (SE),CO2,CO2 (SE),CO2 emission rate,CO2 emission rate (SE),,,,,,
,,,,mg L-1,μg N L-1,μg P L-1,μg P L-1,μg L-1,mg N L-1,mg N L-1,mg L-1,(%),mg L-1,oC,μS cm-1,m3 s-1,mg L-1,% sat,m s-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μg N2O-N m-2 h-1,μg N2O-N m-2 h-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CH4 min-1 m-2,μmol CH4 min-1 m-2,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CO2 min-1 m-2,μmol CO2 min-1 m-2,,,,,,
TMC,38.955407,-84.290974,5/1/09,1.99,39,20.9,42.1,3.97,1.28,1.08,10.6,18.0,,16.6,330,2048,9.5,97.8,,0.0145,0.0006,1.35,0.05,8.88,1.96,0.22,0.03,75,8.72,0.51,0.02,51.88,2.10,2.98,0.12,55.36,3.28,,,,,,
TMC,38.955407,-84.290974,5/18/09,2.15,21,10.6,62.0,2.46,0.70,0.72,55.0,14.5,,17.6,294,2479,9.3,97.5,,0.0129,0.0003,1.24,0.03,11.21,2.18,0.18,0.02,59,7.49,0.50,0.07,68.18,0.78,4.10,0.05,85.54,9.33,,,,,,
TMC,38.955407,-84.290974,5/29/09,2.13,23,7.1,36.8,7.25,0.61,1.00,28.2,7.4,,21.6,337,1990,8.6,98.0,,0.0121,0.0003,1.30,0.03,22.30,1.74,0.27,0.02,96,6.33,1.05,0.09,56.68,1.45,3.79,0.10,114.92,9.58,,,,,,
TMC,38.955407,-84.290974,6/10/09,2.82,37,9.4,36.3,2.42,0.57,0.90,24.3,13.4,,22.0,373,1780,7.7,88.1,,0.0114,0.0001,1.29,0.01,10.60,0.97,0.21,0.04,46,8.28,0.45,0.05,68.77,4.74,4.16,0.29,97.16,8.70,,,,,,
TMC,38.955407,-84.290974,6/26/09,2.50,8,15.8,79.8,1.94,0.86,1.26,41.3,9.3,,26.0,385,1801,7.5,92.0,,0.0126,0.0010,1.41,0.11,22.15,3.98,0.22,0.06,76,21.59,0.55,0.10,60.84,7.35,4.74,0.57,118.88,15.92,,,,,,
TMC,38.955407,-84.290974,7/10/09,2.50,44,17.5,43.7,5.66,0.98,1.33,11.3,16.7,,25.2,431,913,8.1,98.1,,0.0133,0.0004,1.66,0.06,25.95,2.48,0.30,0.06,115,24.09,0.87,0.04,47.29,3.19,3.42,0.23,66.06,2.47,,,,,,
TMC,38.955407,-84.290974,7/23/09,3.17,25,15.2,52.1,2.76,1.02,1.03,11.1,24.4,,25.1,421,727,7.9,95.3,,0.0150,0.0005,1.96,0.06,22.46,2.08,0.27,0.06,99,21.77,0.40,0.11,72.08,2.06,5.17,0.15,83.04,6.79,,,,,,
TMC,38.955407,-84.290974,8/6/09,5.35,16,23.6,114.0,1.25,0.67,1.04,64.3,7.3,,24.3,363,3012,9.2,110.0,,0.0141,0.0003,1.65,0.04,34.24,1.76,0.23,0.04,83,15.69,0.93,0.05,86.40,0.55,6.25,0.04,207.71,14.99,,,,,,
TMC,38.955407,-84.290974,8/17/09,3.19,18,17.9,49.3,3.03,0.66,0.96,22.7,17.5,,26.4,333,1253,,,,0.0135,0.0006,1.70,0.08,33.30,3.05,0.34,0.09,130,35.23,0.67,0.02,72.42,1.86,5.45,0.14,182.15,15.79,,,,,,
TMC,38.955407,-84.290974,9/8/09,,35,12.5,44.6,1.64,0.67,0.91,11.4,17.5,,25.8,494,605,9.1,111.5,,0.0155,0.0001,1.92,0.01,12.81,0.98,0.24,0.09,92,33.69,0.13,0.02,62.26,0.82,4.61,0.06,39.41,4.52,,,,,,
