"","river","time","kobs","kest_mean","kest_low","kest_high","kest_sd"
"53","GaronneDownstream",3,2.76091576488408,2.30941471396185,1.75779394390777,3.00319231340941,0.319769434273988
"54","GaronneDownstream",4,2.73435113500388,2.57439648918828,1.91543449380496,3.40900687934856,0.371749715433323
"55","GaronneDownstream",5,2.76415070890213,2.48152981380999,1.87101317381079,3.21960219168229,0.348170225142986
"56","GaronneDownstream",6,2.75287707337029,2.51418043886731,1.90820731936458,3.33599262178237,0.355619483069516
"57","GaronneDownstream",7,2.74039132193322,2.58001760873763,1.96668436966519,3.37552984295284,0.364101246640241
"58","GaronneDownstream",8,2.65853683075936,2.63145888392426,1.9906274819552,3.4538476335018,0.378829917784584
"59","GaronneDownstream",9,2.7146172191155,2.49108595837409,1.91450978910942,3.25078428859499,0.353198271659691
"60","GaronneDownstream",10,2.74999059478867,2.50178062905475,1.89352364117202,3.20723001096731,0.346874359782225
"61","GaronneDownstream",11,2.64517134840102,2.52797813453993,1.94078915925542,3.28116667135528,0.353621247610545
"62","GaronneDownstream",12,2.6464896882345,2.65430574979109,2.00262407341085,3.44975368611751,0.371410353774125
"63","GaronneDownstream",13,2.75785174948746,2.3455300130948,1.78436133335106,3.06320006245438,0.331185318023224
"64","GaronneDownstream",14,2.68923946026078,2.58201336868538,1.95014869534275,3.41775579474409,0.369266811798008
"65","GaronneDownstream",15,2.69519550332286,2.6145152159348,1.97709316086669,3.36081070814031,0.354221072904343
"66","GaronneDownstream",16,2.68663675626351,2.53234717499874,1.90304670219752,3.33856233695109,0.365860152050703
"67","GaronneDownstream",17,2.66642816554552,2.55848092378271,1.92597338462284,3.35007760648782,0.367338981874658
"68","GaronneDownstream",18,2.54528367788132,2.49665356969268,1.87087283725519,3.27289323182208,0.35938203271325
"69","GaronneDownstream",19,2.39947547116935,2.47654304815632,1.85596314735659,3.26139741648856,0.356362839071661
"70","GaronneDownstream",20,2.36247933151906,2.6107718434553,1.96103556174586,3.42408748895096,0.375371969323316
"71","GaronneDownstream",21,2.25561927357253,2.0720724827513,1.5491088820043,2.6920945388497,0.298112908193804
"72","GaronneDownstream",22,2.18975007542931,2.49586918611536,1.8800392492163,3.24193469448131,0.359121879162774
"73","GaronneDownstream",23,2.17874001580922,2.24166737809342,1.66400202742306,2.90618883400763,0.322919874698412
"74","GaronneDownstream",24,2.28473843587129,2.49002167786528,1.85719254693667,3.24249817686231,0.36594822488984
"75","GaronneDownstream",25,2.14290522150591,2.38896428024824,1.80884083177485,3.12226941377785,0.342740200785766
"76","GaronneDownstream",26,2.35208910218081,2.45351869927205,1.82833473684171,3.24180956175293,0.35824789104969
