"","river","key","kge","nrmse","rBIAS","rrmse"
"70","SacramentoDownstream","FCO2_Lauerwald2015",0.87824626873061,0.0852735888962722,-0.0688326326640125,0.0737609013498301
"71","SacramentoDownstream","FCO2_raymond2012",0.785859851818344,0.160036569772195,-0.1437862553966,0.141671717584925
"72","SacramentoDownstream","FCO2_raymond2013",0.805404051360115,0.137966695849889,-0.115769739880811,0.118349958588172
"73","SacramentoUpstream","FCO2_BIKER",0.869097036510954,0.266859406919067,-0.032260313334029,0.277924845679746
"74","SacramentoUpstream","FCO2_Lauerwald2015",0.962891230666069,0.0337723034930754,-0.0215775065870772,0.0322607188149308
"75","SacramentoUpstream","FCO2_raymond2012",0.862993774199866,0.110080140785701,-0.0953357607425626,0.0957353643767625
"76","SacramentoUpstream","FCO2_raymond2013",0.904242777088496,0.0787285923999163,-0.06153081740702,0.0691515605238762
"77","SeineDownstream","FCO2_BIKER",0.615187583914234,0.427740902760222,-0.229871273161571,0.362385562239233
"78","SeineDownstream","FCO2_Lauerwald2015",0.633483780715364,0.308273004502273,-0.240372447303816,0.23558762247706
"79","SeineDownstream","FCO2_raymond2012",0.544374040650696,0.377215136640205,-0.308163195647271,0.300250401580512
"80","SeineDownstream","FCO2_raymond2013",0.580888698750613,0.353958649625877,-0.276736823254923,0.27145465112865
"81","SeineUpstream","FCO2_BIKER",0.740437589527704,0.340766603849575,-0.199214691677243,0.314739832272635
"82","SeineUpstream","FCO2_Lauerwald2015",0.590613765700248,0.318348116771633,-0.256806762684071,0.248681539426219
"83","SeineUpstream","FCO2_raymond2012",0.532451350437226,0.364676329637564,-0.306301940601507,0.295790503243079
"84","SeineUpstream","FCO2_raymond2013",0.549477525624226,0.351776684085722,-0.283195156121306,0.274622676348414
"85","Severn","FCO2_BIKER",-0.036190876907745,0.644532941836179,-0.582058529772445,0.572043104361233
"86","Severn","FCO2_Lauerwald2015",0.512055410002,0.237103839108217,-0.100338559429108,0.199563932019949
"87","Severn","FCO2_raymond2012",0.646209258181186,0.190039340695796,-0.150787509822999,0.15215511621792
"88","Severn","FCO2_raymond2013",0.264962551022851,0.329246651585238,-0.145913328216482,0.27977231230863
