"","river","key","kge","nrmse","rBIAS","rrmse"
"19","Kanawha","FCO2_raymond2012",0.519968819223958,0.326468232217229,-0.273788812378879,0.258267725559253
"20","Kanawha","FCO2_raymond2013",0.513928642811846,0.3098720862216,-0.241893261755493,0.228351494564059
"21","Kushiyara","FCO2_BIKER",0.902173109105494,0.112314036828277,0.0845135690673545,0.113709286667086
"22","Kushiyara","FCO2_Lauerwald2015",0.743580825597365,0.189161550205466,-0.138365664519955,0.160962110783984
"23","Kushiyara","FCO2_raymond2012",0.625639870040805,0.265878034392487,-0.244978237587476,0.244653045711935
"24","Kushiyara","FCO2_raymond2013",0.642626761887413,0.261070031810194,-0.20246959223354,0.224407831640531
"25","MississippiDownstream","FCO2_BIKER",0.43673684913897,0.394260877921826,-0.378610657329558,0.379052860757591
"26","MississippiDownstream","FCO2_Lauerwald2015",0.94424915595009,0.0536826240611336,0.0508969946800177,0.0548593478731451
"27","MississippiDownstream","FCO2_raymond2012",0.715677217257856,0.204835147562264,-0.200111221096228,0.199991998369007
"28","MississippiDownstream","FCO2_raymond2013",0.809773168670868,0.12236453148909,-0.115011358850233,0.11536822120627
"29","MississippiIntermediate","FCO2_BIKER",0.45918190566093,0.398471545964738,-0.37487158004262,0.3744333598984
"30","MississippiIntermediate","FCO2_Lauerwald2015",0.850576205359919,0.0726475688614421,0.0262053113352024,0.0703943031478876
"31","MississippiIntermediate","FCO2_raymond2012",0.650852848794718,0.209465928839512,-0.181009902970793,0.175659336210529
"32","MississippiIntermediate","FCO2_raymond2013",0.706869145309564,0.148782165583105,-0.106889659034885,0.109253045120876
"33","MississippiUpstream","FCO2_BIKER",0.355367708951792,0.451463871834754,-0.437624330198234,0.436506608425226
"34","MississippiUpstream","FCO2_Lauerwald2015",0.9587476447032,0.0487129963310896,0.0404332761764243,0.0498851489862035
"35","MississippiUpstream","FCO2_raymond2012",0.747143990897791,0.175172664130067,-0.170098923689842,0.169598503926853
"36","MississippiUpstream","FCO2_raymond2013",0.835358298988201,0.104273829566073,-0.0934339933275743,0.0967213562672851
"37","OhioSection1","FCO2_BIKER",0.757790536000837,0.1798606649922,-0.102428331077995,0.100899181343389
"38","OhioSection1","FCO2_Lauerwald2015",0.469121463252978,0.390043769771261,-0.255412743697697,0.225597470686907
"39","OhioSection1","FCO2_raymond2012",0.387730407528213,0.470472024923172,-0.353336465084738,0.311938742787017
"40","OhioSection1","FCO2_raymond2013",0.362703285936903,0.47628613806341,-0.329763560859346,0.286554027561314
"41","OhioSection2","FCO2_BIKER",0.334358920397415,0.56938499421292,0.490894567565151,0.507882595905824
"42","OhioSection2","FCO2_Lauerwald2015",0.53421993179581,0.341771199326561,-0.198348837495677,0.181620129128894
"43","OhioSection2","FCO2_raymond2012",0.432965170122173,0.440383570625589,-0.318284912709889,0.277882842363287
"44","OhioSection2","FCO2_raymond2013",0.409582911684944,0.444281987917438,-0.288155997556118,0.248588656295561
"45","OhioSection3","FCO2_BIKER",0.547571048997761,0.379878758041421,0.336802147280877,0.349286528152272
"46","OhioSection3","FCO2_Lauerwald2015",0.563098509306646,0.296209827346028,-0.169452709785957,0.16617034228826
"47","OhioSection3","FCO2_raymond2012",0.450639997377073,0.405127542333778,-0.303191513983976,0.270119171946993
"48","OhioSection3","FCO2_raymond2013",0.430618673088513,0.401510013754883,-0.266430298435947,0.236829135599499
"49","OhioSection4","FCO2_BIKER",-0.0804873486016295,0.947762907614409,0.852711377340628,0.922709957663873
"50","OhioSection4","FCO2_Lauerwald2015",0.46930741944128,0.383469483234469,-0.247118726766718,0.221461249164644
"51","OhioSection4","FCO2_raymond2012",0.357471582142623,0.489180020023889,-0.372307812946498,0.331842651519048
"52","OhioSection4","FCO2_raymond2013",0.345663367625763,0.484225967036826,-0.338714078827464,0.295892158787454
"53","OhioSection5","FCO2_BIKER",0.780487044504605,0.178191081995601,-0.131973754054816,0.124785091510835
"54","OhioSection5","FCO2_Lauerwald2015",0.532414103263921,0.350363350661059,-0.191915262201712,0.177517628520505
"55","OhioSection5","FCO2_raymond2012",0.417467254183169,0.461500864383673,-0.327048171573363,0.283576345938852
"56","OhioSection5","FCO2_raymond2013",0.394628081830827,0.465802717558915,-0.294029027501565,0.25056827722126
"57","OhioSection7","FCO2_BIKER",0.383317522478965,0.525313659127917,-0.393426717311698,0.364074034416712
"58","OhioSection7","FCO2_Lauerwald2015",0.451339052763249,0.445079677817059,-0.253824633746973,0.217508748834355
"59","OhioSection7","FCO2_raymond2012",0.338268297407942,0.551408226359906,-0.384504532579664,0.32844396145161
"60","OhioSection7","FCO2_raymond2013",0.31332481182233,0.56406884958071,-0.357693841361301,0.295729334220006
"61","OhioSection8","FCO2_BIKER",0.248364762657976,0.499398306430076,-0.436931486403206,0.42203948191215
"62","OhioSection8","FCO2_Lauerwald2015",0.611920627079765,0.19067365801246,-0.11460433258922,0.132454161043685
"63","OhioSection8","FCO2_raymond2012",0.476006161256852,0.333415863250658,-0.291000199821197,0.278821206104398
"64","OhioSection8","FCO2_raymond2013",0.444408845354011,0.311801143982866,-0.238068954977873,0.232218515638376
"65","Padma","FCO2_BIKER",0.62810602067804,0.396282838455752,0.290940179299519,0.364760566569941
"66","Padma","FCO2_Lauerwald2015",0.38676827885582,0.368230574894962,-0.179460392521118,0.183291186718007
"67","Padma","FCO2_raymond2012",0.260178579441892,0.495710586825328,-0.382081825882862,0.363066660135587
"68","Padma","FCO2_raymond2013",0.284528374175992,0.479123678012582,-0.357579650793216,0.342152356323589
"69","SacramentoDownstream","FCO2_BIKER",0.826135336200582,0.14326740787882,-0.139529129358088,0.143103702494287
"70","SacramentoDownstream","FCO2_Lauerwald2015",0.925956236056629,0.0707001475563195,-0.0636700444357113,0.0709780496157462
"71","SacramentoDownstream","FCO2_raymond2012",0.804941424018569,0.144764012160455,-0.141864143942239,0.142737508965737
"72","SacramentoDownstream","FCO2_raymond2013",0.874530000807045,0.114588118451168,-0.106454424366479,0.114654479745869
"73","SacramentoUpstream","FCO2_BIKER",0.776945722434135,0.152849968194103,-0.133154737610345,0.137496442748396
"74","SacramentoUpstream","FCO2_Lauerwald2015",0.943645248677395,0.0378601493684929,-0.0261124337883415,0.033819287752532
"75","SacramentoUpstream","FCO2_raymond2012",0.854311654259776,0.104699268965454,-0.0977754242058829,0.0972230593629631
"76","SacramentoUpstream","FCO2_raymond2013",0.881038702731485,0.0807858845843527,-0.0671892081081448,0.0721454055333192
"77","SeineDownstream","FCO2_BIKER",0.572961802157034,0.302722477501833,-0.274426184198782,0.270245009446358
"78","SeineDownstream","FCO2_Lauerwald2015",0.60419264849982,0.27668404617586,-0.242812802107209,0.241354685515432
"79","SeineDownstream","FCO2_raymond2012",0.525498758343251,0.340206685863254,-0.30985412928632,0.305464947108548
"80","SeineDownstream","FCO2_raymond2013",0.547543748393623,0.317976610953635,-0.279536149028166,0.27759156207645
"81","SeineUpstream","FCO2_BIKER",0.550575740514806,0.317071330383952,-0.276816032200787,0.269620950686996
"82","SeineUpstream","FCO2_Lauerwald2015",0.561165032833713,0.305516335684166,-0.259181458418831,0.254683573012045
"83","SeineUpstream","FCO2_raymond2012",0.510773791831609,0.34961092870939,-0.308293495704145,0.300630378519946
"84","SeineUpstream","FCO2_raymond2013",0.516247588464857,0.337797007459559,-0.286193258943301,0.281380746071614
"85","Severn","FCO2_BIKER",0.00767447017954836,0.584863550710597,-0.546000993888557,0.549224952741382
"86","Severn","FCO2_Lauerwald2015",0.527904135381976,0.198998024288951,-0.056830614999681,0.184847170255224
"87","Severn","FCO2_raymond2012",0.682924528058548,0.15785167990652,-0.128722361911159,0.139115250944428
"88","Severn","FCO2_raymond2013",0.267165800039074,0.280175175909135,-0.0979537295964292,0.260214286010861
