"","river","timestep","FCO2_ulset","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2012_low","FCO2_raymond2012_high","FCO2_raymond2013","FCO2_raymond2013_low","FCO2_raymond2013_high","FCO2_Lauerwald2015","FCO2_Lauerwald2015_low","FCO2_Lauerwald2015_high","sa"
"393","SacramentoDownstream",7,1.28005607586542,1.22046795840715,1.63464964841291,0.922055802231513,1.10069156727551,1.05570292026345,1.14759740104016,1.12843818299286,1.16186793353687,1.22317347402539,1.19212668584573,1.16186793353687,1.22317347402539,7566509204.31
"394","SacramentoDownstream",8,1.25864670162234,1.07409430731944,1.42517792346028,0.8212095294255,1.06945203094697,1.02608629540407,1.11465054858701,1.09046758461436,1.12575474135565,1.18435559960028,1.15468347403427,1.12575474135565,1.18435559960028,7566509204.31
"395","SacramentoDownstream",9,1.60390061052712,1.47070429659743,1.95047443308452,1.1115880924683,1.35200228532156,1.29788442771006,1.40837669611702,1.3668058588151,1.41681278722822,1.48894527304415,1.45243130618496,1.41681278722822,1.48894527304415,7566509204.31
"396","SacramentoDownstream",10,1.20312341790664,1.29454892389812,1.71466101003285,0.992608821732089,1.03734832821412,0.994190881354124,1.08237922365196,1.07649173360151,1.10191000406468,1.16182106579455,1.13146906939915,1.10191000406468,1.16182106579455,7566509204.31
"397","SacramentoDownstream",11,0.998150579579623,0.954001945489713,1.25025512076741,0.733285638398346,0.859255858406558,0.824067440713355,0.895946853617812,0.882062633568193,0.907630861620766,0.955679345170772,0.931345299520119,0.907630861620766,0.955679345170772,7566509204.31
"398","SacramentoDownstream",12,1.68839933492772,1.62465382539295,2.15413316135084,1.24658957164156,1.41473663481693,1.3575757350187,1.47430430811807,1.43922872052168,1.48735424052539,1.5643033164026,1.52534362057926,1.48735424052539,1.5643033164026,7566509204.31
"399","SacramentoDownstream",13,1.83983678826993,1.91388377905173,2.5285428757319,1.45989396843474,1.59543671887529,1.52957241143369,1.66413719223525,1.64676479568072,1.6900609509363,1.78075816408592,1.7348169411933,1.6900609509363,1.78075816408592,7566509204.31
"400","SacramentoDownstream",14,1.93237991388485,1.67547584103619,2.22870079315761,1.27786951432604,1.63642873438165,1.56973541320622,1.70595565718155,1.67445804329157,1.72563390935954,1.8162407378927,1.77035775993612,1.72563390935954,1.8162407378927,7566509204.31
"401","SacramentoUpstream",1,0.173021222624068,0.15166628081527,0.193980374304668,0.119278367072616,0.156851770426081,0.150447484312175,0.163528686743051,0.162979635071684,0.165508917040972,0.174226575069261,0.169811807125012,0.165508917040972,0.174226575069261,7566509204.31
"402","SacramentoUpstream",2,0.344508341032975,0.167342657641673,0.225764978353644,0.125921911427545,0.304838276270785,0.293017267023864,0.317136173107683,0.306109482855066,0.316039773367731,0.33126668349975,0.323563668439411,0.316039773367731,0.33126668349975,7566509204.31
"403","SacramentoUpstream",3,0.450658178883627,0.220034386779659,0.299751470082602,0.164805053405203,0.397325001298706,0.38202084787518,0.413242256908347,0.397262617203047,0.411006881591394,0.43057641430586,0.420677867899766,0.411006881591394,0.43057641430586,7566509204.31
"404","SacramentoUpstream",4,0.225672368760884,0.173779211873944,0.235576159297221,0.132269347790978,0.199597025432385,0.191846723940419,0.20766042676308,0.200604788442884,0.207023345906324,0.21702118275901,0.211963325557878,0.207023345906324,0.21702118275901,7566509204.31
"405","SacramentoUpstream",5,0.346194189302907,0.313640652900701,0.423572406880824,0.235559407134028,0.312225086929972,0.299665254488977,0.325311367031451,0.3211804269342,0.32775315548347,0.344583035774179,0.336062742994004,0.32775315548347,0.344583035774179,7566509204.31
"406","SacramentoUpstream",6,0.367148499655052,0.296876591445241,0.397900255991376,0.224573268714041,0.338353512378554,0.322441112767462,0.355051191403383,0.389944800139251,0.376647181706891,0.401660260658053,0.388952699777037,0.376647181706891,0.401660260658053,7566509204.31
"407","SacramentoUpstream",7,0.461012224866111,0.325752009634992,0.44536943762628,0.245525102896753,0.42409739000443,0.406116067787228,0.442874867254856,0.452341112534015,0.453589138127491,0.479045878206739,0.466143757767801,0.453589138127491,0.479045878206739,7566509204.31
"408","SacramentoUpstream",8,0.409094629572311,0.478946152825315,0.647386584434465,0.362862827447257,0.375638382682882,0.360065939380515,0.391884318007327,0.394405933878605,0.398510184870424,0.420047831503974,0.409137309882442,0.398510184870424,0.420047831503974,7566509204.31
"409","SacramentoUpstream",9,0.627863573174619,0.713717347172962,0.96433271350653,0.538902590128619,0.565450704147948,0.54274051009041,0.589111174167131,0.581044203913046,0.593244845579098,0.623623469402312,0.608244530106639,0.593244845579098,0.623623469402312,7566509204.31
"410","SacramentoUpstream",10,0.751449832241553,0.637512108150873,0.855759502890555,0.477004347550988,0.677822452371282,0.650505495191898,0.706286543379372,0.698116084015642,0.711984632156069,0.748658985112781,0.730091563643032,0.711984632156069,0.748658985112781,7566509204.31
"411","SacramentoUpstream",11,1.00208354404383,0.828674427944224,1.11370280320756,0.627484056311362,0.899368974526198,0.863501218205417,0.936726593013003,0.919844080048361,0.941292555669639,0.988912768527693,0.964808905996358,0.941292555669639,0.988912768527693,7566509204.31
"412","SacramentoUpstream",12,0.574629902866137,0.797398536469316,1.07593237128547,0.600958364992006,0.520770947635282,0.499675204780029,0.54275733450314,0.538228050780832,0.547995338055211,0.576472085775616,0.562053389611144,0.547995338055211,0.576472085775616,7566509204.31
"413","SacramentoUpstream",13,0.410137215322782,0.561849810856674,0.765170317028143,0.424844459706191,0.370513355149203,0.355488073531911,0.386173706358439,0.383209128259334,0.390029952193112,0.410335513728386,0.400053921526175,0.390029952193112,0.410335513728386,7566509204.31
"414","SacramentoUpstream",14,1.05092319284554,0.963600697274854,1.30214769187032,0.723047162147561,0.948046747941398,0.909765554072371,0.987938746920107,0.977699659765242,0.996496110807918,1.04799601389283,1.02192169266762,0.996496110807918,1.04799601389283,7566509204.31
"415","SacramentoUpstream",15,1.3276116855247,1.1732987620617,1.58391810819268,0.886543463096129,1.1974516700052,1.14920155784122,1.24772760042633,1.23316043033073,1.25772674451318,1.32249281042576,1.28970329025631,1.25772674451318,1.32249281042576,7566509204.31
"416","SacramentoUpstream",16,0.705224530622022,1.00713749418913,1.37600465043957,0.755735519457996,0.643650600412652,0.617243338125456,0.671187633734993,0.670998018031047,0.680326881009348,0.716454501451364,0.698157042640589,0.680326881009348,0.716454501451364,7566509204.31
